game_no,player_no,round_no,primal_type,kicker_type,kicker_len,combo_str,primal_str,current_str,up_str,down_str
3,3,11,1,0,0,9,9,3668KA,6TJA2,4578QKA
3,1,12,1,0,0,K,K,4578QKA,3668A,6TJA2
3,2,12,1,0,0,A,A,6TJA2,4578QK,3668A
3,3,12,1,0,0,2,2,3668A,6TJA,4578QK
3,1,13,0,0,0,,,4578QK,3668A,6TJA
3,2,13,0,0,0,,,6TJA,4578QK,3668A
3,3,13,1,0,0,T,T,3668A,6JA,4578QK
3,1,14,1,0,0,A,A,4578QK,3668,6JA
3,2,14,0,0,0,,,6JA,4578QK,3668
3,3,14,0,0,0,,,3668,6JA,4578QK
3,1,15,1,0,0,8,8,4578QK,366,6JA
3,2,15,1,0,0,Q,Q,6JA,4578K,366
3,3,15,1,0,0,A,A,366,6J,4578K
3,1,16,0,0,0,,,4578K,366,6J
3,2,16,0,0,0,,,6J,4578K,366
3,3,16,1,0,0,6,6,366,J,4578K
4,1,1,2,0,0,3456789TJQ,3456789TJQ,34456788TTJQQKAAB,679TJKA22S,3345567899JQKKA22
4,2,1,0,0,0,,,3345567899JQKKA22,34456788TTJQQKAAB,679TJKA22S
4,3,1,0,0,0,,,679TJKA22S,3345567899JQKKA22,34456788TTJQQKAAB
4,1,2,1,0,0,6,6,34456788TTJQQKAAB,79TJKA22S,3345567899JQKKA22
4,2,2,1,0,0,7,7,3345567899JQKKA22,3445688TTJQQKAAB,79TJKA22S
4,3,2,1,0,0,2,2,79TJKA22S,3345567899JQKKA2,3445688TTJQQKAAB
4,1,3,1,0,0,S,S,3445688TTJQQKAAB,79TJKA22,3345567899JQKKA2
4,2,3,1,0,0,B,B,3345567899JQKKA2,3445688TTJQQKAA,79TJKA22
4,3,3,0,0,0,,,79TJKA22,3345567899JQKKA2,3445688TTJQQKAA
4,1,4,0,0,0,,,3445688TTJQQKAA,79TJKA22,3345567899JQKKA2
4,2,4,3,0,0,44,44,3345567899JQKKA2,35688TTJQQKAA,79TJKA22
4,3,4,3,0,0,55,55,79TJKA22,33467899JQKKA2,35688TTJQQKAA
4,1,5,3,0,0,22,22,35688TTJQQKAA,79TJKA,33467899JQKKA2
4,2,5,0,0,0,,,33467899JQKKA2,35688TTJQQKAA,79TJKA
4,3,5,0,0,0,,,79TJKA,33467899JQKKA2,35688TTJQQKAA
4,1,6,1,0,0,7,7,35688TTJQQKAA,9TJKA,33467899JQKKA2
4,2,6,1,0,0,8,8,33467899JQKKA2,3568TTJQQKAA,9TJKA
4,3,6,1,0,0,K,K,9TJKA,33467899JQKA2,3568TTJQQKAA
4,1,7,1,0,0,A,A,3568TTJQQKAA,9TJK,33467899JQKA2
4,2,7,0,0,0,,,33467899JQKA2,3568TTJQQKAA,9TJK
4,3,7,1,0,0,2,2,9TJK,33467899JQKA,3568TTJQQKAA
4,1,8,0,0,0,,,3568TTJQQKAA,9TJK,33467899JQKA
4,2,8,0,0,0,,,33467899JQKA,3568TTJQQKAA,9TJK
4,3,8,3,0,0,33,33,9TJK,467899JQKA,3568TTJQQKAA
4,1,9,0,0,0,,,3568TTJQQKAA,9TJK,467899JQKA
4,2,9,3,0,0,TT,TT,467899JQKA,3568JQQKAA,9TJK
4,3,9,0,0,0,,,9TJK,467899JQKA,3568JQQKAA
4,1,10,0,0,0,,,3568JQQKAA,9TJK,467899JQKA
4,2,10,1,0,0,3,3,467899JQKA,568JQQKAA,9TJK
4,3,10,1,0,0,J,J,9TJK,467899QKA,568JQQKAA
4,1,11,1,0,0,K,K,568JQQKAA,9TJ,467899QKA
4,2,11,1,0,0,A,A,467899QKA,568JQQKA,9TJ
4,3,11,0,0,0,,,9TJ,467899QKA,568JQQKA
4,1,12,0,0,0,,,568JQQKA,9TJ,467899QKA
4,2,12,1,0,0,5,5,467899QKA,68JQQKA,9TJ
4,3,12,1,0,0,9,9,9TJ,46789QKA,68JQQKA
4,1,13,1,0,0,T,T,68JQQKA,9J,46789QKA
4,2,13,1,0,0,J,J,46789QKA,68QQKA,9J
4,3,13,1,0,0,A,A,9J,46789QK,68QQKA
4,1,14,0,0,0,,,68QQKA,9J,46789QK
4,2,14,0,0,0,,,46789QK,68QQKA,9J
4,3,14,1,0,0,9,9,9J,4678QK,68QQKA
4,1,15,1,0,0,J,J,68QQKA,9,4678QK
4,2,15,1,0,0,K,K,4678QK,68QQA,9
4,3,15,0,0,0,,,9,4678QK,68QQA
4,1,16,0,0,0,,,68QQA,9,4678QK
4,2,16,1,0,0,6,6,4678QK,8QQA,9
4,3,16,1,0,0,Q,Q,9,4678K,8QQA
4,1,17,0,0,0,,,8QQA,9,4678K
4,2,17,1,0,0,A,A,4678K,8QQ,9
4,3,17,0,0,0,,,9,4678K,8QQ
4,1,18,0,0,0,,,8QQ,9,4678K
4,2,18,1,0,0,8,8,4678K,QQ,9
4,3,18,1,0,0,K,K,9,4678,QQ
4,1,19,0,0,0,,,QQ,9,4678
5,1,1,9,2,1,33344,333,3455789TTTJQKKAA2,6679JJQQKAA22SB,455667788899TJQK2
5,2,1,9,2,1,55TTT,TTT,455667788899TJQK2,34789JQKKAA2,6679JJQQKAA22SB
5,3,1,0,0,0,,,6679JJQQKAA22SB,455667788899TJQK2,34789JQKKAA2
5,1,2,7,0,0,SB,SB,34789JQKKAA2,6679JJQQKAA22,455667788899TJQK2
5,2,2,0,0,0,,,455667788899TJQK2,34789JQKKAA2,6679JJQQKAA22
5,3,2,0,0,0,,,6679JJQQKAA22,455667788899TJQK2,34789JQKKAA2
5,1,3,3,0,0,66,66,34789JQKKAA2,79JJQQKAA22,455667788899TJQK2
5,2,3,3,0,0,AA,AA,455667788899TJQK2,34789JQKK2,79JJQQKAA22
5,3,3,0,0,0,,,79JJQQKAA22,455667788899TJQK2,34789JQKK2
5,1,4,3,0,0,22,22,34789JQKK2,79JJQQKAA,455667788899TJQK2
5,2,4,0,0,0,,,455667788899TJQK2,34789JQKK2,79JJQQKAA
5,3,4,0,0,0,,,79JJQQKAA,455667788899TJQK2,34789JQKK2
5,1,5,3,0,0,JJ,JJ,34789JQKK2,79QQKAA,455667788899TJQK2
5,2,5,3,0,0,KK,KK,455667788899TJQK2,34789JQ2,79QQKAA
